Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Philadelphia 76ers (1),3,0,1,—,126,120.3,12.55
Chicago Bulls (1),3,0,1,—,117.7,110.7,4.56
Cleveland Cavaliers (3),3,1,0.75,0.5,119,112.8,9.61
New York Knicks (4),2,1,0.667,1,110.3,107,14.29
Charlotte Hornets (4),2,1,0.667,1,132,118.3,12.6
Milwaukee Bucks (4),2,1,0.667,1,122.7,118,2.88
Miami Heat (4),2,1,0.667,1,127.3,115.3,14.56
Detroit Pistons (8),2,2,0.5,1.5,110,113.8,3.55
Washington Wizards (9),1,2,0.333,2,116.7,126.3,-8.5
Atlanta Hawks (10),1,3,0.25,2.5,113,122.5,-10.22
Toronto Raptors (10),1,3,0.25,2.5,121.5,125,-6.47
Boston Celtics (10),1,3,0.25,2.5,111.5,107.8,8.69
Orlando Magic (10),1,3,0.25,2.5,113.5,119.5,-0.64
Indiana Pacers (14),0,3,0,3,116,127.7,-16.44
Brooklyn Nets (14),0,4,0,3.5,114.3,130.5,-7.27
,,,,,,,
Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Oklahoma City Thunder (1),4,0,1,—,121,113.3,-0.33
San Antonio Spurs (1),4,0,1,—,121,104.5,7.42
Golden State Warriors (3),3,1,0.75,1,126.5,124.3,2.6
Denver Nuggets (4),2,1,0.667,1.5,130.3,120.7,4.1
Los Angeles Clippers (4),2,1,0.667,1.5,117,112.7,3.22
Utah Jazz (4),2,1,0.667,1.5,123.7,115.7,3.12
Minnesota Timberwolves (7),2,2,0.5,2,114,119.8,-8.02
Memphis Grizzlies (7),2,2,0.5,2,122,125.5,-5.98
Los Angeles Lakers (7),2,2,0.5,2,118,117.8,-1.54
Portland Trail Blazers (7),2,2,0.5,2,120.5,114.8,4.81
Sacramento Kings (11),1,2,0.333,2.5,113.7,117,-6.57
Houston Rockets (11),1,2,0.333,2.5,124,116.3,6.32
Dallas Mavericks (13),1,3,0.25,3,108,118,-11.97
Phoenix Suns (13),1,3,0.25,3,116.8,129,-11.28
New Orleans Pelicans (15),0,3,0,3.5,109.3,123.3,-10.62
