firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,gameDate
Myles,Turner,1626167,22500469,2025-12-31 15:00:00,Milwaukee,Bucks,Washington,Wizards,,,,,0,1,31.08,13.0,2.0,5.0,2.0,10.0,4.0,0.4,6.0,4.0,0.667,2.0,1.0,0.5,5.0,2.0,7.0,3.0,0.0,12.0,2025-12-31
Bobby,Portis,1626171,22500469,2025-12-31 15:00:00,Milwaukee,Bucks,Washington,Wizards,,,,,0,1,20.13,13.0,3.0,1.0,0.0,11.0,4.0,0.364,6.0,3.0,0.5,2.0,2.0,1.0,4.0,1.0,5.0,2.0,0.0,-11.0,2025-12-31
Alex,Caruso,1627936,22500470,2025-12-31 15:00:00,Oklahoma City,Thunder,Portland,Trail Blazers,,,,,1,1,8.35,3.0,0.0,1.0,1.0,2.0,1.0,0.5,2.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2025-12-31
Kyle,Kuzma,1628398,22500469,2025-12-31 15:00:00,Milwaukee,Bucks,Washington,Wizards,,,,,0,1,21.02,5.0,2.0,0.0,0.0,3.0,2.0,0.667,0.0,0.0,0.0,2.0,1.0,0.5,3.0,2.0,5.0,1.0,3.0,-5.0,2025-12-31
Marvin,Bagley III,1628963,22500469,2025-12-31 15:00:00,Washington,Wizards,Milwaukee,Bucks,,,,,1,0,19.37,9.0,4.0,0.0,2.0,6.0,4.0,0.667,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,6.0,2025-12-31
Shai,Gilgeous-Alexander,1628983,22500470,2025-12-31 15:00:00,Oklahoma City,Thunder,Portland,Trail Blazers,,,,,1,1,28.35,30.0,6.0,0.0,4.0,15.0,11.0,0.733,2.0,1.0,0.5,7.0,7.0,1.0,2.0,0.0,2.0,3.0,0.0,22.0,2025-12-31
Gary,Trent Jr.,1629018,22500469,2025-12-31 15:00:00,Milwaukee,Bucks,Washington,Wizards,,,,,0,1,15.28,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-12.0,2025-12-31
Kenrich,Williams,1629026,22500470,2025-12-31 15:00:00,Oklahoma City,Thunder,Portland,Trail Blazers,,,,,1,1,11.58,3.0,3.0,0.0,1.0,5.0,1.0,0.2,3.0,0.0,0.0,2.0,1.0,0.5,2.0,0.0,2.0,0.0,1.0,11.0,2025-12-31
Robert,Williams III,1629057,22500470,2025-12-31 15:00:00,Portland,Trail Blazers,Oklahoma City,Thunder,,,,,0,0,16.14,8.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,2.0,0.0,5.0,2025-12-31
Amir,Coffey,1629599,22500469,2025-12-31 15:00:00,Milwaukee,Bucks,Washington,Wizards,,,,,0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-31
