gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameDate
22500686,2026-01-29 16:30:00,Minnesota,Timberwolves,1610612750,Oklahoma City,Thunder,1610612760,1,1.0,123,111,26.0,7.0,12.0,89.0,45.0,0.506,47.0,22.0,0.468,18.0,11.0,0.611,31.0,15.0,46.0,21.0,19.0,12.0,240.0,34.0,29.0,33.0,27.0,38.0,22.0,9.0,0.0,23.0,30.0,36.0,28.0,0.0,1.0,30.0,19.0,,2026-01-29
22500686,2026-01-29 16:30:00,Oklahoma City,Thunder,1610612760,Minnesota,Timberwolves,1610612750,0,0.0,111,123,27.0,5.0,11.0,86.0,41.0,0.477,31.0,11.0,0.355,20.0,18.0,0.9,25.0,11.0,36.0,15.0,15.0,-12.0,240.0,22.0,28.0,30.0,31.0,46.0,0.0,7.0,0.0,13.0,29.0,52.0,17.0,0.0,0.0,38.0,11.0,,2026-01-29
22500684,2026-01-29 16:00:00,Denver,Nuggets,1610612743,Brooklyn,Nets,1610612751,1,1.0,107,103,24.0,4.0,6.0,80.0,38.0,0.475,26.0,13.0,0.5,25.0,18.0,0.72,34.0,7.0,41.0,14.0,6.0,4.0,240.0,30.0,34.0,15.0,28.0,48.0,19.0,14.0,11.0,11.0,12.0,40.0,10.0,9.0,0.0,32.0,16.0,,2026-01-29
22500684,2026-01-29 16:00:00,Brooklyn,Nets,1610612751,Denver,Nuggets,1610612743,0,0.0,103,107,24.0,6.0,4.0,85.0,37.0,0.435,37.0,14.0,0.378,18.0,15.0,0.833,35.0,14.0,49.0,21.0,8.0,-4.0,240.0,26.0,23.0,27.0,27.0,27.0,5.0,8.0,11.0,9.0,7.0,42.0,15.0,9.0,0.0,12.0,34.0,,2026-01-29
22500685,2026-01-29 16:00:00,Phoenix,Suns,1610612756,Detroit,Pistons,1610612765,1,1.0,114,96,22.0,3.0,8.0,79.0,37.0,0.468,42.0,16.0,0.381,29.0,24.0,0.828,36.0,11.0,47.0,23.0,15.0,18.0,240.0,35.0,37.0,21.0,21.0,18.0,21.0,10.0,4.0,16.0,14.0,36.0,24.0,4.0,1.0,29.0,19.0,,2026-01-29
22500685,2026-01-29 16:00:00,Detroit,Pistons,1610612765,Phoenix,Suns,1610612756,0,0.0,96,114,26.0,2.0,8.0,87.0,37.0,0.425,29.0,6.0,0.207,21.0,16.0,0.762,28.0,9.0,37.0,19.0,9.0,-18.0,240.0,31.0,25.0,25.0,15.0,19.0,2.0,7.0,4.0,13.0,17.0,54.0,10.0,4.0,1.0,34.0,12.0,,2026-01-29
22500683,2026-01-29 15:30:00,Dallas,Mavericks,1610612742,Charlotte,Hornets,1610612766,1,0.0,121,123,26.0,8.0,7.0,103.0,48.0,0.466,33.0,11.0,0.333,16.0,14.0,0.875,37.0,13.0,50.0,15.0,8.0,-2.0,240.0,20.0,38.0,35.0,28.0,34.0,4.0,9.0,6.0,24.0,13.0,60.0,16.0,6.0,0.0,19.0,29.0,,2026-01-29
22500683,2026-01-29 15:30:00,Charlotte,Hornets,1610612766,Dallas,Mavericks,1610612742,0,1.0,123,121,28.0,9.0,4.0,91.0,43.0,0.473,41.0,20.0,0.488,18.0,17.0,0.944,37.0,8.0,45.0,17.0,10.0,2.0,240.0,33.0,26.0,34.0,30.0,17.0,15.0,8.0,6.0,12.0,4.0,38.0,9.0,6.0,0.0,21.0,28.0,,2026-01-29
22500682,2026-01-29 15:00:00,Atlanta,Hawks,1610612737,Houston,Rockets,1610612745,1,0.0,86,104,19.0,5.0,7.0,93.0,34.0,0.366,39.0,12.0,0.308,7.0,6.0,0.857,32.0,14.0,46.0,16.0,12.0,-18.0,240.0,23.0,19.0,24.0,20.0,30.0,7.0,7.0,9.0,19.0,14.0,40.0,26.0,7.0,1.0,24.0,26.0,,2026-01-29
22500529,2026-01-29 15:00:00,Chicago,Bulls,1610612741,Miami,Heat,1610612748,1,0.0,113,116,25.0,4.0,5.0,94.0,37.0,0.394,38.0,15.0,0.395,29.0,24.0,0.828,36.0,16.0,52.0,20.0,15.0,-3.0,240.0,31.0,20.0,34.0,28.0,49.0,2.0,7.0,2.0,7.0,15.0,38.0,9.0,1.0,0.0,23.0,25.0,,2026-01-29
