personId,firstName,lastName,birthDate,school,country,heightInches,bodyWeightLbs,guard,forward,center,draftYear,draftRound,draftNumber
196294611,Olivinha,"",,,"",,,"","","","","",""
43217,Olivinha,"",,,"",,,"","","","","",""
196294534,Alberto,Abalde,,,"",,,"","","","","",""
76001,Alaa,Abdelnaby,,,USA,,,False,True,False,1990.0,1.0,25.0
76002,Zaid,Abdul-Aziz,,,USA,,,False,False,True,1968.0,1.0,5.0
76003,Kareem,Abdul-Jabbar,,,USA,,,False,False,True,1969.0,1.0,1.0
51,Mahmoud,Abdul-Rauf,,,USA,,,True,False,False,1990.0,1.0,3.0
1505,Tariq,Abdul-Wahad,,,France,,,True,True,False,1997.0,1.0,11.0
949,Shareef,Abdur-Rahim,,,USA,,,False,True,False,1996.0,1.0,3.0
1627114,Tom,Abercrombie,,,"",,,"","","","","",""
196294573,Tom,Abercrombie,,,"",,,False,True,False,"","",""
76005,Tom,Abernethy,,,USA,,,False,True,False,1976.0,3.0,43.0
582,Mustafa,Abi,,,"",,,"","","","","",""
76006,Forest,Able,,,USA,,,True,False,False,1956.0,"",""
1630546,Max,Abmas,,,,,,,,,,,
76007,John,Abramovic,,,USA,,,False,True,False,-1.0,-1.0,-1.0
203518,Alex,Abrines,,,Spain,,,True,False,False,2013.0,2.0,32.0
56017,Alex,Abrines,,,"",,,"","","","","",""
1630173,Precious,Achiuwa,,,,,,,,,,,
101165,Alex,Acker,,,USA,,,True,False,False,2005.0,2.0,60.0
76008,Donald,Ackerman,,,USA,,,True,False,False,1953.0,2.0,""
76009,Mark,Acres,,,USA,,,False,False,True,1985.0,2.0,40.0
76010,Charles,Acton,,,USA,,,False,True,False,-1.0,-1.0,-1.0
196294104,Deng,Acuoth,,,"",,,"","","","","",""
64058,Deng,Acuoth,,,"",,,"","","","","",""
203112,Quincy,Acy,,,USA,,,False,True,False,2012.0,2.0,37.0
76011,Alvan,Adams,,,USA,,,False,False,True,1975.0,1.0,4.0
76012,Don,Adams,,,USA,,,False,True,False,1970.0,8.0,120.0
200801,Hassan,Adams,,,USA,,,False,True,False,2006.0,2.0,54.0
1629824,Jalen,Adams,,,"",,,"","","","","",""
1629121,Jaylen,Adams,,,USA,,,True,False,False,-1.0,-1.0,-1.0
203919,Jordan,Adams,,,USA,,,True,False,False,2014.0,1.0,22.0
149,Michael,Adams,,,USA,,,True,False,False,1985.0,3.0,66.0
203500,Steven,Adams,,,,,,,,,,,
912,Rafael,Addison,,,USA,,,False,True,False,1986.0,2.0,39.0
1628389,Bam,Adebayo,,,,,,false,false,false,,,
1629061,Deng,Adel,,,South Sudan,,,False,True,False,2018.0,"",""
200846,Kenny,Adeleke,,,"",,,"","","","","",""
76015,Rick,Adelman,,,USA,,,True,False,False,1968.0,7.0,79.0
27025,Kyle,Adnam,,,"",,,"","","","","",""
64049,Kyle,Adnam,,,"",,,"","","","","",""
196294137,Jeff,Adrien,,,"",,,"","","","","",""
202399,Jeff,Adrien,,,USA,,,"","","",-1.0,-1.0,-1.0
201167,Arron,Afflalo,,,USA,,,True,False,False,2007.0,1.0,27.0
1630534,Ochai,Agbaji,,,,,,,,,,,
200772,Maurice,Ager,,,USA,,,True,True,False,2006.0,1.0,28.0
1962936108,Pablo,Aguilar,,,"",,,"","","","","",""
203196,Ronnie,Aguilar,,,"",,,"","","","","",""
1966938162,Gustavo,Aguirre,,,"",,,True,False,False,"","",""
76016,Mark,Aguirre,,,USA,,,False,True,False,1981.0,1.0,1.0
52600,Gustavo Nicolas,Agurre,,,"",,,False,False,False,"","",""
201336,Blake,Ahearn,,,USA,,,True,False,False,-1.0,-1.0,-1.0
76017,Danny,Ainge,,,USA,,,True,False,False,1981.0,2.0,31.0
201582,Alexis,Ajinca,,,France,,,False,False,True,2008.0,1.0,20.0
76018,Henry,Akin,,,USA,,,False,False,True,1966.0,2.0,11.0
101224,Deji,Akindele,,,"",,,"","","","","",""
200836,Akin,Akingbala,,,"",,,"","","","","",""
1631231,James,Akinjo,,,,,,,,,,,
1962937763,Josh,Akognon,,,"",,,False,False,False,"","",""
203006,Josh,Akognon,,,USA,,,True,False,False,-22.0,-22.0,-22.0
203191,Josh,Akognon,,,"",,,"","","","","",""
1629152,DeVaughn,Akoon-Purcell,,,Trinidad and Tobago,,,True,True,False,2016.0,"",""
574,Cenk,Akyol,,,"",,,"","","","","",""
202374,Solomon,Alabi,,,Nigeria,,,False,False,True,2010.0,2.0,50.0
76019,Mark,Alarie,,,USA,,,False,True,False,1986.0,1.0,18.0
196294581,Eidan,Alber,,,"",,,"","","","","",""
1966938138,Augusto,Alcassa,,,"",,,"","","","","",""
76020,Gary,Alcorn,,,USA,,,False,False,True,1959.0,3.0,16.0
1630583,Santi,Aldama,,,,,,false,false,false,,,
203128,Furkan,Aldemir,,,Turkey,,,False,True,True,2012.0,2.0,53.0
202332,Cole,Aldrich,,,USA,,,False,False,True,2010.0,1.0,11.0
200746,LaMarcus,Aldridge,,,USA,,,False,True,True,2006.0,1.0,2.0
76021,Chuck,Aleksinas,,,USA,,,False,False,True,1982.0,4.0,76.0
101243,Chris,Alexander,,,"",,,"","","","","",""
1626146,Cliff,Alexander,,,USA,,,False,True,False,-1.0,-1.0,-1.0
724,Cory,Alexander,,,USA,,,True,False,False,1995.0,1.0,29.0
2042,Courtney,Alexander,,,USA,,,True,False,False,2000.0,1.0,13.0
2650,Demetrius,Alexander,,,"",,,"","","","","",""
76022,Gary,Alexander,,,USA,,,False,True,False,-22.0,-22.0,-22.0
201570,Joe,Alexander,,,USA,,,False,True,False,2008.0,1.0,8.0
1629734,Kyle,Alexander,,,Canada,,,False,True,True,-1.0,-1.0,-1.0
1641725,Trey,Alexander,,,,,,,,,,,
1630234,Ty-Shon,Alexander,,,USA,,,True,False,False,-1.0,-1.0,-1.0
2349,Victor,Alexander,,,USA,,,False,True,False,1991.0,1.0,17.0
1629638,Nickeil,Alexander-Walker,,,,,,,,,,,
1962937930,Carlos,Alexandre,,,"",,,"","","","","",""
1628576,Bryce,Alford,,,USA,,,False,False,False,-22.0,-22.0,-22.0
76024,Steve,Alford,,,USA,,,True,False,False,1987.0,2.0,26.0
1628959,Rawle,Alkins,,,USA,,,True,False,False,-1.0,-1.0,-1.0
76028,Bob,Allen,,,USA,,,False,True,False,1968.0,6.0,71.0
1628960,Grayson,Allen,,,,,,false,false,false,,,
1628386,Jarrett,Allen,,,,,,false,false,false,,,
