Team,Conference,Rank,Wins,Losses,Win%,Streak,Home,Road,PointDiff
Chicago Bulls,East,1,6,1,0.857,1,5-0,1-1,5.0
Philadelphia 76ers,East,2,5,2,0.714,-1,2-1,3-1,6.0
Detroit Pistons,East,3,5,2,0.714,3,2-1,2-1,3.0
Milwaukee Bucks,East,4,5,3,0.625,-1,3-1,2-2,1.0
Miami Heat,East,5,4,3,0.571,1,2-0,2-3,7.0
New York Knicks,East,6,4,3,0.571,2,4-0,0-3,3.0
Cleveland Cavaliers,East,7,4,3,0.571,1,2-1,2-2,0.0
Toronto Raptors,East,8,4,4,0.5,3,2-2,2-2,3.0
Atlanta Hawks,East,9,4,4,0.5,1,1-2,3-2,-1.0
Orlando Magic,East,10,3,5,0.375,-1,1-2,2-3,-1.0
Charlotte Hornets,East,11,3,5,0.375,-1,2-2,1-3,0.0
Boston Celtics,East,12,3,5,0.375,-2,1-3,2-2,1.0
Indiana Pacers,East,13,1,6,0.143,-1,1-3,0-3,-8.0
Washington Wizards,East,14,1,6,0.143,-5,0-3,1-3,-14.0
Brooklyn Nets,East,15,0,7,0.0,-7,0-4,0-3,-16.0
Oklahoma City Thunder,West,1,8,0,1.0,8,4-0,4-0,13.0
San Antonio Spurs,West,2,5,1,0.833,-1,3-0,2-1,10.0
Los Angeles Lakers,West,3,6,2,0.75,4,2-2,4-0,3.0
Denver Nuggets,West,4,4,2,0.667,1,3-0,1-2,11.0
Houston Rockets,West,5,4,2,0.667,4,2-1,2-1,13.0
Golden State Warriors,West,6,5,3,0.625,1,4-0,1-3,3.0
Minnesota Timberwolves,West,7,4,3,0.571,2,1-2,3-1,1.0
Portland Trail Blazers,West,8,4,3,0.571,-1,2-2,2-1,3.0
Utah Jazz,West,9,3,4,0.429,1,2-1,1-3,-3.0
LA Clippers,West,10,3,4,0.429,-2,3-2,0-2,-3.0
Memphis Grizzlies,West,11,3,5,0.375,-3,2-3,1-2,-5.0
Phoenix Suns,West,12,3,5,0.375,-1,3-1,0-4,-3.0
Sacramento Kings,West,13,2,5,0.286,-1,1-1,1-4,-5.0
Dallas Mavericks,West,14,2,5,0.286,-2,2-3,0-1,-8.0
New Orleans Pelicans,West,15,1,6,0.143,1,1-2,0-4,-15.0
