GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_STATUS_TEXT,Home_Team,Away_Team,Home_Logo,Away_Logo
0022500338,2025-12-05T00:00:00,1610612738,1610612747,7:00 pm ET,Boston Celtics,Los Angeles Lakers,https://a.espncdn.com/i/teamlogos/nba/500/celtics.png,https://a.espncdn.com/i/teamlogos/nba/500/lakers.png
0022500339,2025-12-05T00:00:00,1610612753,1610612748,7:00 pm ET,Orlando Magic,Miami Heat,https://a.espncdn.com/i/teamlogos/nba/500/magic.png,https://a.espncdn.com/i/teamlogos/nba/500/heat.png
0022500340,2025-12-05T00:00:00,1610612737,1610612743,7:30 pm ET,Atlanta Hawks,Denver Nuggets,https://a.espncdn.com/i/teamlogos/nba/500/hawks.png,https://a.espncdn.com/i/teamlogos/nba/500/nuggets.png
0022500341,2025-12-05T00:00:00,1610612739,1610612759,7:30 pm ET,Cleveland Cavaliers,San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/cavaliers.png,https://a.espncdn.com/i/teamlogos/nba/500/spurs.png
0022500342,2025-12-05T00:00:00,1610612765,1610612757,7:30 pm ET,Detroit Pistons,Portland Trail Blazers,https://a.espncdn.com/i/teamlogos/nba/500/pistons.png,https://a.espncdn.com/i/teamlogos/nba/500/blazers.png
0022500343,2025-12-05T00:00:00,1610612752,1610612762,7:30 pm ET,New York Knicks,Utah Jazz,https://a.espncdn.com/i/teamlogos/nba/500/knicks.png,https://a.espncdn.com/i/teamlogos/nba/500/jazz.png
0022500344,2025-12-05T00:00:00,1610612761,1610612766,7:30 pm ET,Toronto Raptors,Charlotte Hornets,https://a.espncdn.com/i/teamlogos/nba/500/raptors.png,https://a.espncdn.com/i/teamlogos/nba/500/hornets.png
0022500345,2025-12-05T00:00:00,1610612741,1610612754,8:00 pm ET,Chicago Bulls,Indiana Pacers,https://a.espncdn.com/i/teamlogos/nba/500/bulls.png,https://a.espncdn.com/i/teamlogos/nba/500/pacers.png
0022500346,2025-12-05T00:00:00,1610612745,1610612756,8:00 pm ET,Houston Rockets,Phoenix Suns,https://a.espncdn.com/i/teamlogos/nba/500/rockets.png,https://a.espncdn.com/i/teamlogos/nba/500/suns.png
0022500347,2025-12-05T00:00:00,1610612763,1610612746,8:00 pm ET,Memphis Grizzlies,Los Angeles Clippers,https://a.espncdn.com/i/teamlogos/nba/500/grizzlies.png,https://a.espncdn.com/i/teamlogos/nba/500/clippers.png
0022500348,2025-12-05T00:00:00,1610612749,1610612755,8:00 pm ET,Milwaukee Bucks,Philadelphia 76ers,https://a.espncdn.com/i/teamlogos/nba/500/bucks.png,https://a.espncdn.com/i/teamlogos/nba/500/76ers.png
0022500349,2025-12-05T00:00:00,1610612760,1610612742,9:30 pm ET,Oklahoma City Thunder,Dallas Mavericks,https://a.espncdn.com/i/teamlogos/nba/500/thunder.png,https://a.espncdn.com/i/teamlogos/nba/500/mavericks.png
